,name,address,cuisine,lat,lon,image_url,rating,coordinates,square_i,square_j
80,Shun Dat,Shun Dat - Taman Jurong Shopping Center,"[""Mart""]",1.3346588,103.72097895,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2A2RJ31TYB2R6/hero/fd8015208583409795d31a4a43969cb6_1611567456720110427.jpg,,"[1.3346588, 103.72097895]",3,3
81,The Grocery Co,The Grocery Co - By DKSH - Jalan Buroh (Next Day Delivery),"[""Mart"", ""Groceries"", ""Local"", ""Convenience""]",1.317135118,103.7152027,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKEBUFAFKGCX/hero/8c1240af10b4406096b945f9cf17e6f0_1592972688294227950.jpeg,2.0,"[1.317135118, 103.7152027]",3,3
82,Rong Tat Food,Rong Tat Food - Wan Lee Road,"[""Convenience"", ""Groceries"", ""Frozen Food""]",1.33159,103.7055,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DXC26TLT22CA/hero/505fa81b5cec4be8b21c7af65cd3f1b7_1607479533975562323.jpeg,5.0,"[1.33159, 103.7055]",3,3
83,Kim Mart,Kim Mart - Quality Road,"[""Asian"", ""Chicken"", ""Local"", ""Convenience"", ""Same Prices In-Store""]",1.335411,103.710847,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2MUTNCEV4LTN2/hero/93f3974591c34bdf999c08d3ca65d34b_1617183045066460177.jpg,5.0,"[1.335411, 103.710847]",3,3
84,The Social Kitchen,The Social Kitchen - Jurong Bird Park [Islandwide Delivery],"[""Vegetarian Friendly"", ""Same Prices In-Store"", ""Islandwide Delivery"", ""Asian"", ""Social Enterprises""]",1.3208912,103.70657274687076,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DZNELYRALAFE/hero/f4e0adda8d864e099ded4876ffe2c975_1607670163659267531.jpeg,4.8,"[1.3208912, 103.70657274687076]",3,3
85,Mead Johnson Official Store,Enfagrow Official Store - Jalan Buroh,"[""Islandwide Delivery"", ""Health & Wellness"", ""Mart"", ""Local""]",1.317135118,103.7152027,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKEBT2HAEBJA/hero/a4fac679a67c422ba451b9aa2852c26c_1593061650137130730.jpeg,2.1,"[1.317135118, 103.7152027]",3,3
86,The Seafood Market Place By Song Fish,The Seafood Market Place By Song Fish - Fishery Port Road ,"[""Groceries"", ""Seafood"", ""Frozen Food"", ""Mart"", ""Islandwide Delivery""]",1.3117545,103.7242922,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2NZTXNUGTB2GJ/hero/29302f35df3b45cab2d37d9e1bd67089_1620108297936931874.jpeg,5.0,"[1.3117545, 103.7242922]",3,3
87,Ban Choon Marketing,Good Together by Ban Choon - Quality Road,"[""Groceries"", ""Health & Wellness"", ""Mart"", ""Kids Friendly"", ""Convenience""]",1.32906176,103.7101658,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDCJTMVEYVHNA/hero/55e2a522370e4bd7841ed49d3d20d588_1603864872743573288.jpeg,4.3,"[1.32906176, 103.7101658]",3,3
88,Chewly Biscuits & Snacks,Chewly Biscuits & Snacks - Quality Road,"[""Convenience Store/Minimart"", ""Grocery"", ""Snacks""]",1.3356128,103.7108686,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKDVJB2GVCULN/hero/59180cd596254539be87ed07c0f33a6d_1594977566855167326.jpeg,5.0,"[1.3356128, 103.7108686]",3,3
89,Beafash SG,Beafash SG - Yung Ho Spring I,"[""Convenience"", ""Mart"", ""Health & Wellness""]",1.3272631375,103.72341323333336,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZNUA72UJXBGUA/hero/cf41028e105d42f0bb97463ebe6c4dff_1599148795682463652.jpg,,"[1.3272631375, 103.72341323333336]",3,3
90,Farmart Bbq,Farmart Bbq - Jurong Theatre [Islandwide Delivery],"[""Chinese"", ""Seafood"", ""Islandwide Delivery""]",1.3343484,103.722176,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CYMCJ7VYGEWBFE/hero/7c110e8ac33c4b9db5c3a83ad566f97b_1561005271010034928.jpeg,4.3,"[1.3343484, 103.722176]",3,3
91,The Digital Pharmacy Co,The Pharmacy Co - By DKSH - Jalan Buroh (Next Day Delivery),"[""Wellness"", ""Health & Wellness"", ""Mart"", ""Local""]",1.317135118,103.7152027,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZKKEBWJAJWCR2/hero/87f2622c18cf4ecd98425d5b1acd3608_1593510818167507192.jpeg,,"[1.317135118, 103.7152027]",3,3
92,Eastern Harvest,Eastern Harvest - Jalan Tepong,"[""Mart"", ""Frozen Food"", ""Noodles""]",1.310401943854731,103.7215008199252,https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZMGAA4JSFNWL2/hero/66364eaa20c44ed59785d1bc2fb84579_1596617430500252253.jpeg,-1.0,"[1.310401943854731, 103.7215008199252]",3,3
