name,address,cuisine,lat,lon,opening_hours,image_url,rating,coordinates,square_i,square_j
BreadTalk,Breadtalk - Northpoint Shopping Centre #01-49,"['Breakfast & Brunch', 'Bakery', 'Snacks', 'Asian', 'Local']",1.4293582048257372,103.83596245,"{'displayedHours': 'Closed', 'sun': '08:30-21:30', 'mon': '07:00-21:30', 'tue': '07:00-21:30', 'wed': '07:00-21:30', 'thu': '07:00-21:30', 'fri': '07:30-21:30', 'sat': '08:30-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZBGA3A2TXTAME/hero/4a751b406de041708352ea39d9ae19da_1590985554790415399.jpeg,4.6,"[1.4293582048257372, 103.83596245]",7,7
Green Dot,Greendot - Northpoint,"['Chinese', 'Healthy', 'Vegetarian', 'Burger', 'Vegan']",1.4294348036058722,103.83587640698931,"{'displayedHours': 'Closed', 'sun': '10:30-20:30', 'mon': '10:30-20:30', 'tue': '10:30-20:30', 'wed': '10:30-20:30', 'thu': '10:30-20:30', 'fri': '10:30-20:30', 'sat': '10:30-20:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/SGDD05880/hero/Green_Dot_Hero_16x9.jpg,4.5,"[1.4294348036058722, 103.83587640698931]",7,7
The Salad Fork,The Salad Fork - Northpoint City,"['Halal', 'Chicken', 'Healthy', 'Salad', 'Breakfast & Brunch']",1.428470600818514,103.8358584773361,"{'displayedHours': 'Closed', 'sun': '11:00-21:30', 'mon': '11:00-21:30', 'tue': '11:00-21:30', 'wed': '11:00-21:30', 'thu': '11:00-21:30', 'fri': '11:00-21:30', 'sat': '11:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDDKF2UL6C2AN/hero/bb8d80123b4a491481931970efda0ed0_1601437247221835038.jpeg,4.3,"[1.428470600818514, 103.8358584773361]",7,7
Old Auntea Mama Store,Old Auntea Mama Store - Nee Soon Central Vista,"['Snacks', 'Supermarket', 'Mart', 'Groceries']",1.428872106568139,103.83023505873729,"{'displayedHours': 'Closed', 'sun': '10:30-15:00', 'mon': '10:30-19:30', 'tue': '10:30-19:30', 'wed': '10:30-19:30', 'thu': '10:30-19:30', 'fri': '10:30-19:30', 'sat': '10:30-19:30', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZLVFGKFAY2JJX/hero/f84b824f74fc423abb32c95c79192b60_1611549797316771405.jpg,4.0,"[1.428872106568139, 103.83023505873729]",7,7
Nam Kee Pau,Nam Kee Pau - Northpoint City,"['Local', 'Snack']",1.4294654,103.8358502,"{'displayedHours': 'Closed', 'sun': '08:00-20:00', 'mon': '08:00-20:00', 'tue': '08:00-20:00', 'wed': '08:00-20:00', 'thu': '08:00-20:00', 'fri': '08:00-20:00', 'sat': '08:00-20:00', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDDC3VTAK4KNN/hero/21a879329ed1481aac51c1f25b099300_1591953882248361938.jpeg,4.5,"[1.4294654, 103.8358502]",7,7
Devil Chicken,Devil Chicken - Northpoint City,"['Local', 'Chicken']",1.4285021954990782,103.83567220040452,"{'displayedHours': 'Closed', 'sun': '12:00-21:20', 'mon': '12:00-21:30', 'tue': '12:00-21:20', 'wed': '12:00-21:20', 'thu': '12:15-21:20', 'fri': '12:00-21:20', 'sat': '12:00-21:20'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZCDKF6AMEDBHE/hero/881f02bcdc21449592dbd8124685a6a1_1607669988567636774.png,4.6,"[1.4285021954990782, 103.83567220040452]",7,7
Boomeranz Nasi Ayam Power By Adimann,Boomeranz Nasi Ayam Power By Adimann - Northpoint City,"['Asian', 'Beverages', 'Chicken', 'Local', 'Malaysian']",1.4293752114520115,103.83568157029627,"{'displayedHours': 'Closed', 'sun': '10:00-21:30', 'mon': '10:00-21:30', 'tue': '10:00-21:30', 'wed': '10:00-21:30', 'thu': '10:00-21:30', 'fri': '10:00-21:30', 'sat': '10:00-21:30'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2TVEBCHLT2WGE/hero/79f3e4e3b667461b99badee69dbc2d33_1621224846254454687.jpeg,3.0,"[1.4293752114520115, 103.83568157029627]",7,7
Green Signature,Green Signature - Northpoint City,['Chinese'],1.429374088770274,103.8356368902721,"{'displayedHours': 'Closed', 'sun': 'Closed', 'mon': 'Closed', 'tue': 'Closed', 'wed': '10:30-21:30', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2DKPGLZJ3TKCT/hero/0cbbeb9e3ad14eb3862aaf005af37162_1620014065832325447.jpeg,4.2,"[1.429374088770274, 103.8356368902721]",7,7
Encik Tan,Encik Tan - Northpoint City,"['Local', 'Asian', 'Noodles', 'Halal']",1.429413080215454,103.835625775,"{'displayedHours': 'Closed', 'sun': '00:00-23:59', 'mon': '00:00-23:59', 'tue': '00:00-23:59', 'wed': '00:00-23:59', 'thu': '00:00-23:59', 'fri': '00:00-23:59', 'sat': '00:00-23:59', 'tempClosed': True}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-CZDWNPVTLX52AJ/hero/0934969951a04f7ba50f214f847e535b_1591935720976094277.jpeg,4.3,"[1.429413080215454, 103.835625775]",7,7
Taste Beyond Taste Ban Mian,Taste Beyond Taste Ban Mian - Yishun Street 11,"['Chinese', 'Local', 'Asian', 'Noodles']",1.4320670819603232,103.83349203846318,"{'displayedHours': 'Closed', 'sun': '09:30-09:31', 'mon': 'Closed', 'tue': 'Closed', 'wed': 'Closed', 'thu': 'Closed', 'fri': 'Closed', 'sat': 'Closed'}",https://d1sag4ddilekf6.cloudfront.net/compressed/merchants/4-C2CULGCCAXDBKA/hero/fad5ca0828fe4a5b99d89365aeb87f5c_1605157140548792745.jpeg,4.5,"[1.4320670819603232, 103.83349203846318]",7,7
